,precision,recall,f1-score,support
0,0.830603764360792,0.7874855156431054,0.8084701403759219,4315.0
1,0.8007388092133855,0.8417085427135679,0.8207126948775055,4378.0
accuracy,0.8147935120211665,0.8147935120211665,0.8147935120211665,0.8147935120211665
macro avg,0.8156712867870888,0.8145970291783367,0.8145914176267137,8693.0
weighted avg,0.8155630679803312,0.8147935120211665,0.8146357798108619,8693.0
