,precision,recall,f1-score,support
0,0.8035674470457079,0.835225955967555,0.8190909090909091,4315.0
1,0.8310361216730038,0.7987665600730928,0.8145818774749592,4378.0
accuracy,0.816864143563787,0.816864143563787,0.816864143563787,0.816864143563787
macro avg,0.8173017843593559,0.8169962580203238,0.8168363932829341,8693.0
weighted avg,0.8174013199915611,0.816864143563787,0.8168200543325256,8693.0
