,precision,recall,f1-score,support
0,0.7214038128249567,0.7717265353418308,0.7457171649311387,4315.0
1,0.7584007848908512,0.706258565555048,0.7314015375517445,4378.0
accuracy,0.7387553203727136,0.7387553203727136,0.7387553203727136,0.7387553203727136
macro avg,0.7399022988579039,0.7389925504484394,0.7385593512414417,8693.0
weighted avg,0.7400363612782509,0.7387553203727136,0.7385074770596344,8693.0
