,precision,recall,f1-score,support
0,0.767824074074074,0.7687137891077637,0.7682686740011581,4315.0
1,0.7717813857763549,0.7708999543170397,0.7713404182379157,4378.0
accuracy,0.7698147935120212,0.7698147935120212,0.7698147935120212,0.7698147935120212
macro avg,0.7698027299252145,0.7698068717124017,0.7698045461195369,8693.0
weighted avg,0.7698170696604753,0.7698147935120212,0.769815676907925,8693.0
