,precision,recall,f1-score,support
0,0.7323023306469179,0.7791425260718424,0.7549966314843926,4315.0
1,0.7676743052169673,0.7192782092279579,0.742688679245283,4378.0
accuracy,0.7489934430001151,0.7489934430001151,0.7489934430001151,0.7489934430001151
macro avg,0.7499883179319426,0.7492103676499002,0.7488426553648377,8693.0
weighted avg,0.7501164920029143,0.7489934430001151,0.7487980562051079,8693.0
