,precision,recall,f1-score,support
0,0.947539461467038,0.9460023174971032,0.9467702655688276,4315.0
1,0.9468643101482326,0.9483782549109182,0.9476206778500513,4378.0
accuracy,0.9471988956631773,0.9471988956631773,0.9471988956631773,0.9471988956631773
macro avg,0.9472018858076353,0.9471902862040107,0.9471954717094395,8693.0
weighted avg,0.947199439325806,0.9471988956631773,0.9471985532678036,8693.0
