,precision,recall,f1-score,support
0,0.7642628936558649,0.7761297798377752,0.7701506266528688,4315.0
1,0.7759220598469033,0.764047510278666,0.7699390033375533,4378.0
accuracy,0.7700448636834234,0.7700448636834234,0.7700448636834234,0.7700448636834234
macro avg,0.7700924767513841,0.7700886450582206,0.770044814995211,8693.0
weighted avg,0.7701347249666168,0.7700448636834234,0.7700440481558654,8693.0
