,precision,recall,f1-score,support
0,0.951130395067367,0.9652375434530707,0.9581320450885669,4315.0
1,0.9652294853963839,0.9511192325262677,0.9581224114127934,4378.0
accuracy,0.9581272288047855,0.9581272288047855,0.9581272288047855,0.9581272288047855
macro avg,0.9581799402318754,0.9581783879896693,0.9581272282506801,8693.0
weighted avg,0.9582310297689011,0.9581272288047855,0.9581271933420425,8693.0
